Slice,RU,UE,RB,Power
0,0,0,0,19952.622907281988
0,0,0,1,4.475873577519662e-05
0,0,0,2,0.0
0,0,1,0,0.0
0,0,1,1,3.9346876691270793e-05
0,0,1,2,3.88617570723504e-05
0,0,2,0,0.0
0,0,2,1,0.0
0,0,2,2,0.0
0,0,3,0,0.0
0,0,3,1,0.0
0,0,3,2,0.0
0,0,4,0,0.0
0,0,4,1,0.0
0,0,4,2,0.0
0,1,0,0,0.0
0,1,0,1,0.0
0,1,0,2,0.0
0,1,1,0,0.0
0,1,1,1,0.0
0,1,1,2,0.0
0,1,2,0,0.0
0,1,2,1,0.00013278537523697675
0,1,2,2,19952.61333310122
0,1,3,0,0.0
0,1,3,1,0.0
0,1,3,2,0.0
0,1,4,0,0.0
0,1,4,1,2.1196450866511896e-05
0,1,4,2,3.423402101532247e-05
0,2,0,0,0.0
0,2,0,1,0.0
0,2,0,2,0.0
0,2,1,0,0.0
0,2,1,1,0.0
0,2,1,2,0.0
0,2,2,0,0.0
0,2,2,1,0.0
0,2,2,2,0.0
0,2,3,0,0.0
0,2,3,1,19952.619557931033
0,2,3,2,0.0006985631669913506
0,2,4,0,0.0
0,2,4,1,0.0
0,2,4,2,0.0
0,3,0,0,0.0
0,3,0,1,0.0
0,3,0,2,0.0
0,3,1,0,0.0
0,3,1,1,0.0
0,3,1,2,0.0
0,3,2,0,0.0
0,3,2,1,0.0
0,3,2,2,0.0
0,3,3,0,0.0
0,3,3,1,0.0
0,3,3,2,0.0
0,3,4,0,0.0
0,3,4,1,0.0
0,3,4,2,0.0
